book_id,authors,publication_year,title,average_rating,ratings_count
26,Dan Brown,2003.0,The Da Vinci Code,3.79,1447148
27,"J.K. Rowling, Mary GrandPré",2005.0,Harry Potter and the Half-Blood Prince,4.54,1678823
28,William Golding,1954.0,Lord of the Flies ,3.64,1605019
29,"William Shakespeare, Robert           Jackson",1595.0,An Excellent conceited Tragedie of Romeo and Juliet,3.73,1628519
30,Gillian Flynn,2012.0,Gone Girl,4.03,512475
31,Kathryn Stockett,2009.0,The Help,4.45,1531753
32,John Steinbeck,1937.0,Of Mice and Men ,3.84,1467496
33,Arthur Golden,1997.0,Memoirs of a Geisha,4.08,1300209
34,E.L. James,2011.0,Fifty Shades of Grey,3.67,1338493
35,"Paulo Coelho, Alan R. Clarke",1988.0,O Alquimista,3.82,1299566
36,Lois Lowry,1993.0,The Giver,4.12,1296825
37,C.S. Lewis,1950.0,"The Lion, the Witch and the Wardrobe",4.19,1531800
38,Audrey Niffenegger,2003.0,The Time Traveler's Wife,3.95,746287
39,George R.R. Martin,1996.0,A Game of Thrones,4.45,1319204
40,Elizabeth Gilbert,2006.0,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",3.51,1181647
41,Rick Riordan,2005.0,The Lightning Thief,4.23,1366265
42,Louisa May Alcott,1868.0,Little Women,4.04,1257121
43,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,4.1,1198557
44,Nicholas Sparks,1996.0,The Notebook,4.06,1053403
45,Yann Martel,2001.0,Life of Pi,3.88,1003228
46,Sara Gruen,2006.0,Water for Elephants,4.07,1068146
47,Markus Zusak,2005.0,The Book Thief,4.36,1159741
48,Ray Bradbury,1953.0,Fahrenheit 451,3.97,570498
49,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)",3.52,1149630
50,Shel Silverstein,1974.0,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,4.29,1016888
51,Cassandra Clare,2007.0,City of Bones,4.12,1154031
52,Stephenie Meyer,2007.0,Eclipse,3.69,1134511
53,Christopher Paolini,2002.0,Eragon,3.86,1104021
54,Douglas Adams,1979.0,The Hitchhiker's Guide to the Galaxy,4.2,936782
55,Aldous Huxley,1932.0,Brave New World,3.97,1022601
56,Stephenie Meyer,2008.0,Breaking Dawn,3.7,1070245
57,Sue Monk Kidd,2001.0,The Secret Life of Bees,4.01,916189
58,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,3.8,953758
59,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web,4.15,1064521
60,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,3.85,867553
61,Paula Hawkins,2015.0,The Girl on the Train,3.88,1008778
62,Philip Pullman,1995.0,Northern Lights,3.94,953970
63,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights,3.82,899195
64,Jodi Picoult,2004.0,My Sister's Keeper,4.06,863879
65,Kurt Vonnegut Jr.,1969.0,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",4.06,846488
66,Margaret Mitchell,1936.0,Gone with the Wind,4.28,873981
67,Khaled Hosseini,2007.0,A Thousand Splendid Suns,4.34,818742
68,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,4.21,888806
69,Veronica Roth,2012.0,Insurgent,4.07,836362
70,Orson Scott Card,1985.0,Ender's Game,4.3,813439
71,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,"Frankenstein; or, The Modern Prometheus",3.75,808589
72,Stephen King,1977.0,The Shining,4.17,791850
73,Stephenie Meyer,2008.0,The Host,3.84,749780
74,John Green,2005.0,Looking for Alaska,4.09,783470
75,Helen Fielding,1996.0,,3.75,736498
76,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,4.06,738894
77,"Louis Sachar, Louis Sachar",1998.0,Holes,3.93,747445
78,Lauren Weisberger,2003.0,The Devil Wears Prada,3.7,665930
79,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,Ὀδύσσεια,3.73,670326
80,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,Le Petit Prince,4.28,738757
81,Jeannette Walls,2005.0,The Glass Castle,4.24,621099
82,Jon Krakauer,1996.0,Into the Wild,3.94,647684
83,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,3.81,637412
84,Michael Crichton,1990.0,Jurassic Park,3.96,447833
85,Shel Silverstein,1964.0,The Giving Tree,4.38,702332
86,John Grisham,1989.0,A Time to Kill,4.03,597775
87,"Elie Wiesel, Marion Wiesel",1958.0,Un di Velt Hot Geshvign,4.3,691231
88,John Green,2008.0,Paper Towns,3.88,461311
89,William Goldman,1973.0,The Princess Bride,4.25,628637
90,S.E. Hinton,1967.0,The Outsiders,4.06,659248
91,James Dashner,2009.0,The Maze Runner,4.02,719925
92,"Steven D. Levitt, Stephen J. Dubner",2005.0,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,3.93,524191
93,Frances Hodgson Burnett,1911.0,The Secret Garden,4.12,639357
94,"Gabriel García Márquez, Gregory Rabassa",1967.0,Cien años de soledad,4.04,490565
95,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,4.06,590014
96,E.L. James,2012.0,Fifty Shades Freed,3.88,387290
97,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,3.98,618973
98,"Stieg Larsson, Reg Keeland",2006.0,Flickan som lekte med elden,4.22,563994
99,E.L. James,2011.0,Fifty Shades Darker,3.87,552059
100,Barbara Kingsolver,1998.0,The Poisonwood Bible,4.02,546502
101,David Sedaris,2000.0,Me Talk Pretty One Day,3.97,495736
102,Maurice Sendak,1963.0,Where the Wild Things Are,4.22,620618
103,"Alexandre Dumas, Robin Buss",1844.0,Le Comte de Monte-Cristo,4.21,555822
104,Cormac McCarthy,2006.0,The Road,3.95,504793
105,Veronica Roth,2013.0,Allegiant,3.63,463257
106,Tina Fey,2011.0,Bossypants,3.94,506250
107,Nicholas Sparks,1999.0,A Walk to Remember,4.15,546948
108,Sophie Kinsella,2000.0,Confessions of a Shopaholic,3.61,543658
109,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0,Les Misérables,4.14,513407
110,George R.R. Martin,1998.0,A Clash of Kings,4.4,523303
111,Kim Edwards,2005.0,The Memory Keeper's Daughter,3.64,501430
112,Jojo Moyes,2012.0,Me Before You,4.27,587647
113,Joseph Heller,1961.0,Catch-22,3.98,563265
114,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,4.06,556518
115,Jeffrey Eugenides,2002.0,Middlesex,3.98,488243
116,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,3.89,555359
117,Madeleine L'Engle,1962.0,A Wrinkle in Time,4.04,615907
118,Amy Tan,1989.0,The Joy Luck Club,3.9,515090
119,Margaret Atwood,1985.0,The Handmaid's Tale,4.06,607889
120,Ann Brashares,2001.0,The Sisterhood of the Traveling Pants,3.75,525706
121,"Vladimir Nabokov, Craig Raine",1955.0,Lolita,3.88,469836
122,"Gregory Maguire, Douglas Smith",1995.0,Wicked: The Life and Times of the Wicked Witch of the West,3.52,506900
123,John Grisham,1991.0,The Firm,3.99,488269
124,Emma Donoghue,2010.0,Room,4.03,511360
125,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,"The Tragicall Historie of Hamlet, Prince of Denmark",4.0,515820
126,Frank Herbert,1965.0,Dune,4.19,485032
127,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,3.92,490504
128,Walter Isaacson,2011.0,Steve Jobs,4.09,560715
129,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,4.18,491642
130,Ernest Hemingway,1952.0,The Old Man and the Sea,3.73,520630
131,John Steinbeck,1939.0,The Grapes of Wrath,3.92,322321
132,Mitch Albom,2003.0,The Five People You Meet in Heaven,3.9,449501
133,L.M. Montgomery,1908.0,Anne of Green Gables,4.23,502247
134,Cassandra Clare,2009.0,City of Glass,4.34,593173
135,George R.R. Martin,2000.0,A Storm of Swords,4.54,469022
136,Rebecca Wells,1996.0,Divine Secrets of the Ya-Ya Sisterhood,3.79,465676
137,Diana Gabaldon,1991.0,Outlander,4.2,515547
138,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,3.37,509883
139,Ransom Riggs,2011.0,Miss Peregrine’s Home for Peculiar Children,3.89,613674
140,"Stieg Larsson, Reg Keeland",2007.0,Luftslottet som sprängdes,4.2,443951
141,Andy Weir,2012.0,The Martian,4.39,423344
142,Ken Follett,1989.0,The Pillars of the Earth,4.29,462517
143,Anthony Doerr,2014.0,,4.31,470001
144,Laura Hillenbrand,2010.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,487775
145,Dan Brown,2001.0,Deception Point,3.67,455610
146,Donna Tartt,2013.0,The Goldfinch,3.87,396756
147,Jay Asher,2007.0,Thirteen Reasons Why,4.02,463783
148,Tracy Chevalier,1999.0,Girl with a Pearl Earring,3.85,467577
149,Gayle Forman,2009.0,If I Stay,3.96,503527
150,Anita Diamant,1997.0,The Red Tent,4.16,424981
151,Rick Riordan,2006.0,The Sea of Monsters,4.23,514932
152,Nicholas Sparks,2006.0,Dear John,4.01,441062
153,Cassandra Clare,2008.0,City of Ashes,4.21,541117
154,William Shakespeare,1606.0,The Tragedy of Macbeth,3.88,496018
155,J.R.R. Tolkien,1954.0,The Two Towers,4.42,480446
156,Emily Giffin,2004.0,Something Borrowed,3.83,403601
157,"Dr. Seuss, לאה נאור",1960.0,Green Eggs and Ham,4.29,457475
158,"Roald Dahl, Quentin Blake",1964.0,Charlie and the Chocolate Factory,4.1,453959
159,Rick Riordan,2008.0,The Battle of the Labyrinth,4.39,508214
160,Charles Dickens,1860.0,Great Expectations,3.75,459247
161,J.R.R. Tolkien,1955.0,The Return of the King,4.51,463959
162,"Albert Camus, Matthew    Ward",1942.0,L’Étranger,3.96,420600
163,Rick Riordan,2010.0,The Lost Hero,4.35,271576
164,Rainbow Rowell,2013.0,Eleanor & Park,4.11,514312
165,George R.R. Martin,2005.0,A Feast for Crows,4.1,428186
166,Ally Condie,2010.0,Matched,3.68,511815
167,Neil Gaiman,2001.0,American Gods,4.11,378019
168,"Stephen King, Bernie Wrightson",1978.0,The Stand,4.34,438832
169,Nicholas Sparks,2008.0,The Last Song,4.14,424637
170,Dan Brown,1998.0,Digital Fortress,3.6,423019
171,"Jane Austen, Fiona Stafford",1815.0,Emma,3.99,459826
172,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877.0,Анна Каренина,4.02,297472
173,Anthony Burgess,1962.0,A Clockwork Orange,3.98,431195
174,William Paul Young,2007.0,The Shack: Where Tragedy Confronts Eternity,3.74,419539
175,Rick Riordan,2009.0,The Last Olympian,4.5,397500
176,Stephen King,1986.0,It,4.18,292592
177,"Fyodor Dostoyevsky, David McDuff",1866.0,Преступление и наказание,4.18,380903
178,Sylvia Plath,1963.0,The Bell Jar,3.98,401605
179,Frank McCourt,1996.0,Angela's Ashes: A Memoir,4.07,392103
180,"Hermann Hesse, Hilda Rosner",1922.0,Siddhartha,3.99,372099
181,Truman Capote,1965.0,In Cold Blood,4.05,381652
182,"Kami Garcia, Margaret Stohl",2009.0,Beautiful Creatures,3.76,436093
183,Cassandra Clare,2010.0,Clockwork Angel,4.33,490890
184,"Roald Dahl, Quentin Blake",1988.0,Matilda,4.29,440743
185,Erin Morgenstern,2011.0,The Night Circus,4.03,429543
186,Philippa Gregory,2001.0,The Other Boleyn Girl,4.04,381080
187,Scott Westerfeld,2005.0,Uglies,3.86,449073
188,George R.R. Martin,2011.0,A Dance with Dragons,4.31,365954
189,J.R.R. Tolkien,1955.0,The Lord of the Rings,4.47,389054
190,Cheryl Strayed,2012.0,Wild: From Lost to Found on the Pacific Crest Trail ,3.96,379872
191,"Alan Moore, Dave Gibbons, John Higgins",1987.0,Watchmen,4.35,398018
192,Patrick Rothfuss,2007.0,The Name of the Wind,4.55,400101
193,Malcolm Gladwell,2008.0,Outliers: The Story of Success,4.11,353011
194,"Herman Melville, Andrew Delbanco, Tom Quirk",1851.0,"Moby Dick; or, The Whale",3.46,358050
195,"Mary Ann Shaffer, Annie Barrows",2008.0,The Guernsey Literary and Potato Peel Pie Society,4.12,393626
196,Chuck Palahniuk,1996.0,Fight Club,4.2,365349
197,Charlaine Harris,2001.0,Dead Until Dark,3.96,420764
198,Alice Walker,1982.0,The Color Purple,4.17,376766
199,John Grogan,2005.0,Marley & Me: Life and Love with the World's Worst Dog,4.12,367304
200,Agatha Christie,1939.0,Ten Little Niggers,4.23,408983
201,Dan Brown,2009.0,The Lost Symbol,3.66,369428
202,Becca Fitzpatrick,2009.0,"Hush, Hush",4.0,448166
203,Jamie McGuire,2011.0,Beautiful Disaster,4.15,418309
204,Charles Dickens,1843.0,A Christmas Carol,4.02,394540
205,Anne Rice,1976.0,Interview with the Vampire,3.97,372566
206,Kiera Cass,2012.0,The Selection,4.15,505340
207,Janet Evanovich,1994.0,One for the Money,4.03,391007
208,Rebecca Skloot,2010.0,The Immortal Life of Henrietta Lacks,4.04,377249
209,Thomas Harris,1988.0,The Silence of the Lambs,4.14,351107
210,Richelle Mead,2007.0,,4.14,248283
211,Malcolm Gladwell,2005.0,Blink: The Power of Thinking Without Thinking,3.89,348196
212,Ian McEwan,2001.0,Atonement,3.88,347006
213,"Franz Kafka, Stanley Corngold",1915.0,Die Verwandlung,3.78,364933
214,Rick Riordan,2007.0,The Titan's Curse,4.33,446668
215,Ernest Cline,2011.0,,4.31,349423
216,Garth Stein,2006.0,The Art of Racing in the Rain,4.19,327409
217,"Erik Larson, Tony Goldwyn",2003.0,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",3.98,309385
218,Sylvia Day,2012.0,Bared to You,4.19,222678
219,"C.S. Lewis, Pauline Baynes",1956.0,The Chronicles of Narnia,4.24,376385
220,Mark Cotta Vaz,,Twilight: The Complete Illustrated Movie Companion,4.23,291411
221,Dave Pelzer,1995.0,"A Child Called ""It"": One Child's Courage to Survive",4.08,311543
222,Robert Ludlum,1980.0,The Bourne Identity,3.98,327122
223,Eoin Colfer,2001.0,Artemis Fowl,3.82,386923
224,Lauren Kate,2009.0,Fallen,3.74,395296
225,John Steinbeck,1952.0,East of Eden  ,4.35,320919
226,Gillian Flynn,2009.0,Dark Places,3.92,333452
227,John Grisham,1993.0,The Client,3.97,320083
228,"Emma McLaughlin, Nicola Kraus",2002.0,The Nanny Diaries,3.4,323762
229,"Lewis Carroll, John Tenniel, Martin Gardner",1865.0,Alice's Adventures in Wonderland,4.06,340920
230,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817.0,Persuasion,4.13,365425
231,Tatiana de Rosnay,2007.0,Elle s'appelait Sarah,4.14,312444
232,Stephen King,1982.0,The Gunslinger,3.99,332494
233,"Gabriel García Márquez, Edith Grossman",1985.0,El amor en los tiempos del cólera,3.89,283806
234,Laurie Halse Anderson,1999.0,Speak,4.0,360156
235,Liane Moriarty,2013.0,The Husband's Secret ,3.92,232106
236,Jon Krakauer,1997.0,Into Thin Air: A Personal Account of the Mt. Everest Disaster,4.11,291258
237,Stephen King,1974.0,Carrie,3.93,356814
238,Augusten Burroughs,2002.0,Running with Scissors,3.7,293878
239,Max Brooks,2006.0,World War Z: An Oral History of the Zombie War,4.01,312969
240,Dan Brown,2013.0,Inferno,3.8,287533
241,Lois Lowry,1989.0,Number the Stars,4.11,333638
242,James Patterson,1993.0,Along Came a Spider,4.08,311499
243,Stephen King,1987.0,Misery,4.11,334647
244,Gillian Flynn,2006.0,Sharp Objects,3.92,207889
245,Katherine Paterson,1977.0,Bridge to Terabithia,3.98,337644
246,"P.C. Cast, Kristin Cast",2007.0,Marked,3.79,360044
247,Stephen R. Covey,1989.0,The 7 Habits of Highly Effective People,4.05,314700
248,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595.0,A Midsummer Night's Dream,3.94,334241
249,Jonathan Safran Foer,2005.0,Extremely Loud and Incredibly Close,3.97,294726
250,R.J. Palacio,2012.0,Wonder,4.43,228538
251,Dr. Seuss,1957.0,The Cat in the Hat,4.15,314016
252,Marissa Meyer,2012.0,Cinder,4.15,427663
253,"Robert Galbraith, J.K. Rowling",2013.0,The Cuckoo's Calling,3.83,297712
254,Maggie Stiefvater,2009.0,Shiver,3.78,356625
255,"Ayn Rand, Leonard Peikoff",1957.0,Atlas Shrugged,3.68,283295
256,"Greg Mortenson, David Oliver Relin",2006.0,Three Cups of Tea ,3.64,283516
257,"Jane Carruth, Lewis Carroll, Rene Cloke",1865.0,,4.03,343252
258,"Carlos Ruiz Zafón, Lucia Graves",2001.0,La sombra del viento,4.24,263685
259,James Dashner,2010.0,The Scorch Trials,3.93,305643
260,Dale Carnegie,1936.0,How to Win Friends and Influence People,4.13,282623
261,Frances Mayes,1996.0,Under the Tuscan Sun,3.72,279264
262,Liane Moriarty,2014.0,Big Little Lies,4.2,306186
263,Gail Carson Levine,1997.0,Ella Enchanted,3.97,339117
264,Ernest Hemingway,1926.0,The Sun Also Rises,3.83,284988
265,Betty  Smith,1943.0,A Tree Grows In Brooklyn ,4.24,291909
266,James Patterson,1995.0,Kiss the Girls,3.93,274639
267,Kristin Hannah,2015.0,The Nightingale,4.54,253606
268,Kazuo Ishiguro,2005.0,Never Let Me Go,3.8,294123
269,Cecelia Ahern,2003.0,"PS, I Love You",4.01,262921
270,"Daphne du Maurier, Sally Beauman",1938.0,Rebecca,4.2,177384
271,Daniel Keyes,1966.0,Flowers for Algernon,4.07,313044
272,"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989.0,Como agua para chocolate,3.94,263199
273,Lisa See,2005.0,Snow Flower and the Secret Fan,4.05,280475
274,"Mario Puzo, Robert Thompson, Peter Bart",1969.0,The Godfather,4.36,256480
275,John Green,2006.0,An Abundance of Katherines,3.63,312754
276,Isaac Asimov,1951.0,Foundation,4.13,279688
277,Neil Gaiman,2013.0,The Ocean at the End of the Lane,3.99,293844
278,Shel Silverstein,1981.0,A Light in the Attic,4.34,297861
279,"John Tiffany, Jack Thorne, J.K. Rowling",2016.0,"Harry Potter and the Cursed Child, Parts One and Two",3.75,270603
280,Lauren Oliver,2011.0,Delirium,3.99,256975
281,John Grisham,1992.0,The Pelican Brief,3.95,288376
282,Neil Gaiman,2002.0,Coraline,4.03,316379
283,"Terry Pratchett, Neil Gaiman",1990.0,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",4.25,298304
284,Jack Kerouac,1955.0,On the Road,3.64,246602
285,Graeme Simsion,2013.0,The Rosie Project,4.01,251703
286,Nicholas Sparks,2008.0,The Lucky One,4.1,267166
287,"Ayn Rand, Leonard Peikoff",1943.0,The Fountainhead,3.85,244545
288,Tom Clancy,1984.0,The Hunt for Red October,4.01,270318
289,Richard Adams,1972.0,Watership Down,4.05,292426
290,Mindy Kaling,2011.0,Is Everyone Hanging Out Without Me? (And Other Concerns),3.84,290674
291,Abraham Verghese,2009.0,Cutting for Stone,4.28,258319
292,"C.S. Lewis, Pauline Baynes",1951.0,The Voyage of the Dawn Treader,4.08,306492
293,Robert Louis Stevenson,1882.0,Treasure Island,3.82,268012
294,Rick Riordan,2011.0,The Son of Neptune ,4.44,299980
295,Stephen King,2011.0,11/22/1963,4.29,258464
296,Eric Carle,1969.0,The Very Hungry Caterpillar,4.29,296952
297,Kurt Vonnegut Jr.,1963.0,Cat's Cradle,4.18,238940
298,"H.G. Wells, Greg Bear, Carlo Pagetti",1895.0,The Time Machine,3.87,276076
299,"Todd Burpo, Lynn Vincent",2010.0,,4.01,228371
300,John Boyne,2006.0,The Boy in the Striped Pyjamas,4.1,285692
301,Joseph Conrad,1899.0,Heart of Darkness,3.42,255576
302,Nicholas Sparks,2010.0,Safe Haven,4.19,255531
303,Rhonda Byrne,2006.0,The Secret,3.62,241537
304,Wally Lamb,1998.0,I Know This Much Is True ,4.17,246917
305,Stephen King,1983.0,Pet Sematary,3.91,256383
306,Wally Lamb,1992.0,She's Come Undone,3.84,259576
307,Patrick Rothfuss,2011.0,The Wise Man's Fear,4.57,245686
308,Sophie Kinsella,2003.0,Can You Keep a Secret?,3.83,278747
309,Cassandra Clare,2011.0,City of Fallen Angels,4.16,341826
310,Jennifer Weiner,2001.0,Good in Bed,3.7,248804
311,Colleen McCullough,1977.0,The Thorn Birds,4.22,255651
312,"Neil Gaiman, Dave McKean",2008.0,The Graveyard Book,4.12,302303
313,M.L. Stedman,2012.0,The Light Between Oceans,4.0,243526
314,"Cornelia Funke, Anthea Bell",2003.0,Tintenherz,3.86,285011
315,"Spencer Johnson, Kenneth H. Blanchard",1998.0,Who Moved My Cheese?,3.74,237272
316,Bill Bryson,1997.0,A Walk in the Woods,4.05,250192
317,Maya Angelou,1969.0,I Know Why the Caged Bird Sings,4.19,270859
318,Christina Baker Kline,2013.0,Orphan Train,4.14,226091
319,Cassandra Clare,2012.0,City of Lost Souls,4.3,300553
320,Maria Semple,2012.0,"Where'd You Go, Bernadette",3.9,215453
321,Wilson Rawls,1961.0,Where the Red Fern Grows,4.04,268548
322,Neil Gaiman,1996.0,Neverwhere,4.18,268318
323,"Milan Kundera, Michael Henry Heim",1984.0,Nesnesitelná lehkost bytí,4.08,205279
324,Rainbow Rowell,2013.0,,4.12,340379
325,John Irving,1989.0,A Prayer for Owen Meany,4.22,226964
326,Janet Fitch,1999.0,White Oleander,3.93,245674
327,Marie Lu,2011.0,Legend,4.19,299998
328,Jodi Picoult,2007.0,Nineteen Minutes,4.1,235978
329,"Randy Pausch, Jeffrey Zaslow",2008.0,The Last Lecture,4.25,241869
330,Robert Jordan,1990.0,The Eye of the World,4.18,260184
331,Jodi Picoult,1998.0,The Pact,4.0,221225
332,C.S. Lewis,1953.0,The magician's nephew,4.01,268355
333,Lisa Genova,2007.0,Still Alice,4.3,223432
334,Sylvia Day,2012.0,Reflected in You,4.33,252564
335,"Roald Dahl, Quentin Blake",1961.0,James and the Giant Peach,3.99,270402
336,James Patterson,2001.0,1st To Die,4.05,233984
337,Douglas Adams,1996.0,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,4.37,222842
338,David Nicholls,2009.0,One Day,3.77,222926
339,"Margaret Wise Brown, Clement Hurd",1947.0,,4.27,244842
340,Pittacus Lore,2010.0,I Am Number Four,3.94,253437
341,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",-750.0,Ἰλιάς,3.83,241088
342,J.K. Rowling,2012.0,The Casual Vacancy,3.28,231835
343,John Grisham,1996.0,The Runaway Jury,3.96,222712
344,David Sedaris,1997.0,Naked,4.08,201337
345,Christopher Paolini,2005.0,Eldest,3.96,250000
346,"L. Frank Baum, W.W. Denslow",1900.0,The Wonderful Wizard of Oz,3.98,247521
347,C.S. Lewis,1951.0,Prince Caspian: The Return to Narnia,3.96,250221
348,E. Lockhart,2014.0,We Were Liars,3.85,273442
349,Stephen King,1975.0,Salem's Lot,3.99,228680
350,"Hunter S. Thompson, Ralph Steadman",1971.0,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,4.08,232489
351,Cassandra Clare,2011.0,Clockwork Prince,4.46,307994
352,Amy Poehler,2014.0,Yes Please,3.81,251082
353,William Shakespeare,1603.0,"The Tragedy of Othello, The Moor of Venice",3.88,238875
354,Toni Morrison,1987.0,Beloved,3.77,233825
355,Kristin Cashore,2008.0,Graceling,4.1,281185
356,"Lemony Snicket, Brett Helquist",1999.0,The Bad Beginning,3.89,275670
357,"Erich Maria Remarque, A.W. Wheen",1929.0,Im Westen nichts Neues,3.92,249113
358,Dr. Seuss,1990.0,"Oh, the Places You'll Go!",4.34,257260
359,Khaled Hosseini,2012.0,And The Mountains Echoed,4.03,199326
360,"Philip K. Dick, Roger Zelazny",1968.0,Do Androids Dream of Electric Sheep?,4.08,223828
361,"Charles Dickens, George Cruikshank, Philip Horne",1838.0,Oliver Twist,3.85,230181
362,C.S. Lewis,1942.0,A Grief Observed,4.21,116277
363,Stephanie Perkins,2010.0,Anna and the French Kiss,4.08,259479
364,Dr. Seuss,1957.0,How the Grinch Stole Christmas!,4.36,250602
365,"Alan Moore, David   Lloyd",1990.0,V for Vendetta,4.25,210682
366,David McCullough,2001.0,John Adams,4.05,215780
367,Dean Koontz,2003.0,Odd Thomas,3.94,205986
368,Philip Pullman,1997.0,The Subtle Knife,4.1,242503
369,Jerry Spinelli,2000.0,Stargirl,3.74,237560
370,Rick Riordan,2010.0,The Red Pyramid,4.06,232791
371,Robert A. Heinlein,1961.0,Stranger in a Strange Land,3.91,220301
372,David Sedaris,2004.0,Dress Your Family in Corduroy and Denim,4.08,191923
373,"Roald Dahl, Quentin Blake",1982.0,The BFG,4.22,245855
374,Bill Bryson,2003.0,A Short History of Nearly Everything,4.19,191535
375,Jack London,1903.0,The Call of the Wild,3.83,223932
376,James Dashner,2011.0,The Death Cure,3.77,223674
377,Neil Gaiman,1999.0,Stardust,4.07,237602
378,Jhumpa Lahiri,2003.0,The Namesake,3.96,184211
379,Deborah Harkness,2011.0,A Discovery of Witches,3.99,226622
380,"Haruki Murakami, Jay Rubin",1987.0,ノルウェイの森 [Noruwei no Mori],4.02,183988
381,Billie Letts,1995.0,Where the Heart Is,4.0,208333
382,"John Green, David Levithan",2010.0,"Will Grayson, Will Grayson",3.84,236431
383,James Frey,2003.0,A Million Little Pieces,3.62,184241
384,Richelle Mead,2008.0,Frostbite,4.3,256745
